Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
Brive;Alban RAMETTE;Centre;Trois-Quarts;07/10/1998;188;91;4;;FALSE
Brive;Alex DUNBAR;Centre;Trois-Quarts;23/04/1990;191;103;4;;FALSE
Brive;Arnaud MIGNARDI;Centre;Trois-Quarts;01/11/1986;180;90;4;;FALSE
Brive;Guillaume GALLETIER;Centre;Trois-Quarts;07/03/1997;178;98;4;;FALSE
Brive;Nico LEE;Centre;Trois-Quarts;13/03/1994;180;89;4;;FALSE
Brive;Seva GALALA;Centre;Trois-Quarts;29/01/1993;188;105;4;;FALSE
Brive;Stuart OLDING;Centre;Trois-Quarts;11/03/1993;180;87;4;;FALSE
Brive;Axel MULLER;Ailier;Trois-Quarts;25/11/1993;186;94;4;;FALSE
Brive;Franck ROMANET;Ailier;Trois-Quarts;02/05/1986;178;89;4;;FALSE
Brive;Guillaume NAMY;Ailier;Trois-Quarts;03/04/1989;182;83;4;;FALSE
Brive;Rory SCHOLES;Ailier;Trois-Quarts;23/04/1993;186;95;4;;FALSE
Brive;Setareki BITUNIYATA;Ailier;Trois-Quarts;12/08/1995;190;89;4;;FALSE
Brive;Joris JURAND;Arrière;Arrière;11/11/1995;188;106;4;;FALSE
Brive;Rico BULIRUARUA;Arrière;Arrière;23/01/1997;186;106;4;;FALSE
Castres;Antoine TICHIT;Pilier;Avant;13/06/1989;182;112;5;;FALSE
Castres;Daniel KOTZE;Pilier;Avant;28/03/1987;187;120;5;;FALSE
Castres;Karena WIHONGI;Pilier;Avant;29/09/1979;186;130;5;;FALSE
Castres;Marc CLERC;Pilier;Avant;09/06/1987;181;120;5;;FALSE
Castres;Matt TIERNEY;Pilier;Avant;04/07/1996;191;132;5;;FALSE
Castres;Paea FAANUNU;Pilier;Avant;04/11/1988;191;125;5;;FALSE
Castres;Tapu FALATEA;Pilier;Avant;12/12/1988;187;137;5;;FALSE
Castres;Tudor STROË;Pilier;Avant;06/09/1993;184;112;5;;FALSE
